length,maximum_absolute_error,root_mean_square_error,relative_error
2,5.551115123126e-17,3.925231146709e-17,3.773958669063e-17
3,4.002966042487e-16,2.780179642303e-16,3.045195890071e-16
5,2.220446049250e-16,1.747719912285e-16,2.261265330722e-16
6,5.661048867004e-16,4.305843192450e-16,4.198519131049e-16
10,3.477763656540e-16,1.982417822293e-16,2.392225359962e-16
12,8.473409486550e-16,4.367692449631e-16,5.896622830097e-16
15,9.155133597044e-16,4.045083535295e-16,4.626478043006e-16
30,7.850462293419e-16,4.339943936691e-16,5.427457916878e-16
45,1.777223989483e-15,6.569088825837e-16,8.024878032869e-16
60,1.256630860244e-15,6.355236977109e-16,7.327575842304e-16
75,2.121078110322e-15,7.598129288350e-16,9.167938624655e-16
90,2.517049690621e-15,7.882871243396e-16,8.981454472897e-16
125,2.434909185329e-15,7.873865189827e-16,9.785422182876e-16
150,2.437438961789e-15,8.611577155165e-16,1.032089829485e-15
300,2.360366527284e-15,9.552862318347e-16,1.147677929014e-15
1024,1.680072297996e-15,5.662298342953e-16,6.884419562173e-16
